description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"THIS IS LOVE! COMPLETE…RECKLESS…VIOLENT!
When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man’s murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",3.8,44K,91K,23K,449 FANS,Alfred Hitchcock,spellbound-1945
"THREE WONDERFUL LOVES IN THE BEST PICTURE OF THE YEAR!
It’s the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",4.2,62K,63K,19K,531 FANS,William Wyler,the-best-years-of-our-lives-1946
"THE GREAT ADVENTURE OF A KING WHO DEFIED THE ODDS TO PROVE HIMSELF A MAN.
In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",3.8,12K,25K,5.2K,131 FANS,Kenneth Branagh,henry-v-1946
"IT’S A WONDERFUL LAUGH! IT’S A WONDERFUL LOVE!
A holiday favourite for generations… George Bailey has spent his entire life giving to the people of Bedford Falls. All that prevents rich skinflint Mr. Potter from taking over the entire town is George’s modest building and loan company. But on Christmas Eve the business’s $8,000 is lost and George’s troubles begin.",4.4,239K,906K,317K,27K FANS,Frank Capra,its-a-wonderful-life-1946
"HUNGER NO LOVE… WOMAN… OR WEALTH COULD SATISFY!
An adventurous young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.",3.5,6.5K,5.3K,1K,14 FANS,Edmund Goulding,the-razors-edge-1946
"THRILLS! DRAMA! HEART-THROBS!
Jody convinces his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",3.3,7K,5.5K,786,1 FAN,Clarence Brown,the-yearling-1946
A magazine writer poses as a Jew to expose anti-Semitism.,3.5,21K,20K,3.4K,18 FANS,Elia Kazan,gentlemans-agreement-1947
"HAVE YOU HEARD ABOUT CARY AND THE BISHOP’S WIFE?
An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, …more",3.5,15K,29K,7.1K,45 FANS,Henry Koster,the-bishops-wife-1947
"HATE IS LIKE A LOADED GUN!
A man is murdered, apparently by one of a group of soldiers just out of the army. But which one? And why?",3.6,14K,15K,3.2K,2 FANS,Edward Dmytryk,crossfire-1947
"FROM THE VIVID PAGES OF CHARLES DICKENS’ MASTERPIECE!
In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",3.8,24K,29K,5.5K,52 FANS,David Lean,great-expectations-1947
"CAPTURE THE SPIRIT OF CHRISTMAS WITH THIS TIMELESS CLASSIC!
Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy’s following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.",3.8,41K,114K,25K,103 FANS,George Seaton,miracle-on-34th-street-1947
"THE MOTION PICTURE OF ALL TIME … FOR ALL TIME!
Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",3.7,28K,28K,5.7K,71 FANS,Laurence Olivier,hamlet-1948
"THERE WAS TEMPTATION IN HER HELPLESS SILENCE…AND THEN TORMENT
A small-town doctor helps a deaf-mute farm girl learn to communicate.",3.7,7.1K,4K,832,4 FANS,Jean Negulesco,johnny-belinda-1948
"DANCE SHE DID, AND DANCE SHE MUST - BETWEEN HER TWO LOVES
In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",4.4,124K,191K,80K,6.1K FANS,"Emeric Pressburger, Michael Powell",the-red-shoes-1948
"MARRIED AND IN LOVE… WITH A MAN SHE DIDN’T KNOW OR WANT!
Virginia Cunningham is confused upon finding herself in a mental hospital, with no memory of her arrival at the institution. Tormented by delusions and unable to even recognize her husband, Robert, she is treated by Dr. Mark Kik, who is determined to get to the root of her mental illness. As her treatment progresses, flashbacks depict events in Virginia’s life that may have contributed to her instability.",3.7,13K,9.7K,2.2K,26 FANS,Anatole Litvak,the-snake-pit-1948
"THE NEARER THEY GET TO THEIR TREASURE, THE FARTHER THEY GET FROM THE LAW.
Two jobless Americans convince a prospector to travel to the mountains of Mexico with them in search of gold. But the hostile wilderness, local bandits, and greed all get in the way of their journey.",4.3,68K,120K,36K,623 FANS,John Huston,the-treasure-of-the-sierra-madre-1948
"HE MIGHT HAVE BEEN A PRETTY GOOD GUY . . . IF TOO MUCH POWER . . . AND WOMEN . . . HADN’T GONE TO HIS HEAD !
A man of humble beginnings and honest intentions rises to power by nefarious means. Along for the wild ride are an earnest reporter, a heretofore classy society girl, and a too-clever-for-her-own-good political flack.",3.6,21K,17K,2.8K,3 FANS,Robert Rossen,all-the-kings-men-1949
"THE FIRST GREAT PICTURE OF THE SECOND WORLD WAR!
Members of the U.S. Army’s 101st Airborne Division are fighting for their country amidst the rugged terrain of Bastogne, Belgium, in December 1944. Holley and his American compatriots have already seen one of their own, Roderigues, perish under enemy fire. The men try to rebuff another series of Nazi attacks, but what they really need is a change in the weather. Without clear skies, they’ll never get the air support they need.",3.7,6.8K,3.9K,813,3 FANS,William A. Wellman,battleground-1949
"A TRULY GREAT MOTION PICTURE.
In 1840s New York, the uneventful and boring days of the daughter of a wealthy doctor come to an end when she meets a dashing poorer man — who may or may not be after her inheritance.",4.2,28K,26K,8.8K,215 FANS,William Wyler,the-heiress-1949
"ALL OF THEM WONDERED WHILE ONE OF THEM WANDERED!
A letter is addressed to three wives from their “best friend” Addie Ross, announcing that she is running away with one of their husbands - but she does not say which one.",3.8,10K,13K,3.2K,26 FANS,Joseph L. Mankiewicz,a-letter-to-three-wives-1949
"A STORY OF TWELVE MEN AS THEIR WOMEN NEVER KNEW THEM…
In the early days of daylight bombing raids over Germany, General Frank Savage must take command of a ‘hard luck’ bomber group. Much of the story deals with his struggle to whip his group into a disciplined fighting unit in spite of heavy losses, and withering attacks by German fighters over their targets.",3.7,8.5K,8.4K,1.7K,17 FANS,Henry King,twelve-oclock-high-1949
"IT’S ALL ABOUT WOMEN… AND THEIR MEN!
From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo’s Broadway role, becomes a sensation and even causes turmoil in the lives of Margo’s director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",4.4,112K,192K,65K,3.3K FANS,Joseph L. Mankiewicz,all-about-eve-1950
"IT’S HERE AT LAST!
Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",3.7,13K,16K,4.2K,45 FANS,George Cukor,born-yesterday-1950
"YOU’RE INVITED… TO A HILARIOUS WEDDING!
Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",3.5,9.1K,16K,2.8K,6 FANS,Vincente Minnelli,father-of-the-bride-1950
"LOVERS TRAPPED IN ANIMAL STAMPEDE!
Fortune hunter Allan Quatermain teams up with a resourceful woman to help her find her missing husband lost in the wilds of 1900s Africa while being pursued by hostile tribes and a rival German explorer.",3.2,5.4K,5.1K,673,3 FANS,"Compton Bennett, Andrew Marton",king-solomons-mines-1950
"A HOLLYWOOD STORY.
A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.",4.4,182K,441K,165K,8.4K FANS,Billy Wilder,sunset-boulevard-1950
"WHAT A JOY! IT’S M-G-M’S TECHNICOLOR MUSICAL!
Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who’s a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",3.7,58K,99K,22K,392 FANS,Vincente Minnelli,an-american-in-paris-1951
"A WOMAN’S KISS . . . A LIGHTED CIGARETTE - EACH HAD ITS MEANING! AN EXCITING AND REALISTIC STORY OF WAR . . . OF GERMAN PRISONERS SENT BACK BEHIND THEIR OWN LINES AS AGENTS OF THE ALLIES!
WWII is entering its last phase: Germany is in ruins, but does not yield. The US army lacks crucial knowledge about the German units operating on the opposite side of the Rhine, and decides to send two German prisoners to gather information. The scheme is risky: the Gestapo retains a terribly efficient network to identify and capture spies and deserters. Moreover, it is not clear that “Tiger”, who does not mind any dirty work as long as the price …more",3.5,3.9K,1.8K,304,1 FAN,Anatole Litvak,decision-before-dawn-1951
"YOUNG PEOPLE ASKING SO MUCH OF LIFE… TAKING SO MUCH OF LOVE!
A young social climber wins the heart of a beautiful heiress but his former girlfriend’s pregnancy stands in the way of his ambition.",3.9,31K,41K,11K,202 FANS,George Stevens,a-place-in-the-sun-1951
"THIS IS THE BIG ONE! THE SPLENDOR AND SAVAGERY OF THE WORLD’S WICKEDEST EMPIRE! THREE HOURS OF SPECTACLE YOU’LL REMEMBER FOR A LIFETIME!
After fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia, he begins to question the tyrannical leadership of the despotic emperor Nero.",3.4,9K,15K,2.3K,38 FANS,Mervyn LeRoy,quo-vadis-1951
"…BLANCHE, WHO WANTED SO MUCH TO STAY A LADY…
A disturbed, aging Southern belle moves in with her sister for solace — but being face-to-face with her brutish brother-in-law accelerates her downward spiral.",4.0,75K,230K,57K,1.8K FANS,Elia Kazan,a-streetcar-named-desire-1951
"THE HEARTBEAT STORY OF CIRCUS PEOPLE, FILMED WITH THE COOPERATION OF RINGLING BROS. - BARNUM AND BAILEY CIRCUS!
To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",3.0,18K,17K,1.8K,18 FANS,Cecil B. DeMille,the-greatest-show-on-earth-1952
"THE STORY OF A MAN WHO WAS TOO PROUD TO RUN!
Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople.",4.0,57K,121K,30K,319 FANS,Fred Zinnemann,high-noon-1952
"AT LAST ON THE SCREEN ! BIGGEST SPECTACLE SINCE QUO VADIS!
Sir Walter Scott’s classic story of the chivalrous Ivanhoe who joins with Robin of Locksley in the fight against Prince John and for the return of King Richard the Lionheart.",3.3,6K,8.4K,1.2K,17 FANS,Richard Thorpe,ivanhoe-1952
"WILD, WICKED, WONDERFUL PARIS…ALL HER LOVES, LADIES AND LUSTY LEGENDS!
In 1890 Paris, Moulin Rouge is a nightclub where crippled artist Toulouse-Lautrec feels like he fits in. In the following years, he meets two women who provide an opportunity for him to find true love.",3.3,8.6K,8.6K,1.3K,25 FANS,John Huston,moulin-rouge-1952
"ACTION… EXCITEMENT… ROMANCE… FILL THE SCREEN!
An American man returns to the village of his birth in Ireland, where he finds love and conflict.",3.8,30K,50K,13K,493 FANS,John Ford,the-quiet-man-1952
"THE BOLDEST BOOK OF OUR TIME… HONESTLY, FEARLESSLY ON THE SCREEN!
In 1941 Hawaii, a private is cruelly punished for not boxing on his unit’s team, while his captain’s wife and second in command are falling in love.",3.8,40K,51K,10K,93 FANS,Fred Zinnemann,from-here-to-eternity-1953
"MGM’S ACCLAIMED PRODUCTION OF WILLIAM SHAKESPEARE’S JULIUS CAESAR.
The assassination of the would-be ruler of Rome at the hands of Brutus and company has tragic consequences for the idealist and for the republic.",3.6,12K,21K,3.8K,43 FANS,Joseph L. Mankiewicz,julius-caesar-1953
"THE FIRST MOTION PICTURE IN CINEMASCOPE–THE MODERN MIRACLE YOU SEE WITHOUT GLASSES!
Drunk and disillusioned Roman, Marcellus Gallio, wins Jesus’ robe in a dice game after the crucifixion. Marcellus has never been a man of faith like his slave, Demetrius, but when Demetrius escapes with the robe, Marcellus experiences disturbing visions and feels guilty for his actions. Convinced that destroying the robe will cure him, Marcellus sets out to find Demetrius — and discovers his Christian faith along the way.",3.2,8.2K,8.4K,1.1K,7 FANS,Henry Koster,the-robe-1953
"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann’s regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",4.2,122K,406K,148K,13K FANS,William Wyler,roman-holiday-1953
"THE GREATEST STORY OF THE WEST EVER FILMED!
A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.",3.7,36K,59K,12K,184 FANS,George Stevens,shane-1953
"THE MAN LIVED BY THE JUNGLE LAW OF THE DOCKS!
A prizefighter-turned-longshoreman with a conscience goes up against labor leaders to expose corruption, extortion, and murder among the union ranks.",4.2,98K,197K,54K,1.3K FANS,Elia Kazan,on-the-waterfront-1954
"AS BIG AS THE OCEAN!
When a US Naval captain shows signs of mental instability that jeopardize his ship, the first officer relieves him of command and faces court martial for mutiny.",3.7,10K,16K,3.5K,18 FANS,Edward Dmytryk,the-caine-mutiny-1954
"Abdul Rahim sends his son Ismail to Paris to receive his education. He meets a crook, that makes him fall for a dancer who extorts him and wants to marry him. He asks his father for money,which makes him travel to Paris with his niece to save him.",,7,7,2,,Hasan El-Saifi,the-country-girl-1954
"SINGIN’! DANCIN’! ROMANCIN’!
In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too.",3.5,22K,56K,11K,590 FANS,Stanley Donen,seven-brides-for-seven-brothers-1954
"YOU’VE NEVER LIVED UNTIL YOU’VE LOVED IN ROME!
Three American roommates working in Italy wish for the man of their dreams after throwing coins into Rome’s magnificent Trevi Fountain. Frances, a secretary at a government agency, sets out to win the heart of her smooth-talking novelist employer; Anita, her coworker, defies office regulations by romancing an Italian who works at the agency; and office newcomer Maria meets a real Italian Prince Charming and falls madly in love. The only thing the …more",3.0,4.5K,3.5K,380,6 FANS,Jean Negulesco,three-coins-in-the-fountain-1954
"IT’S THE LOVE STORY OF AN UNSUNG HERO!
Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to.",3.9,37K,47K,14K,206 FANS,Delbert Mann,marty-1955
"THE PRICE THEY PAY WHEN THEY COME OUT OF THEIR SECRET GARDEN AND FACE THE WORLD IN MODERN-DAY HONG KONG - MAKES THIS ONE OF THE SCREEN’S UNFORGETTABLE EXPERIENCES!
A widowed doctor of both Chinese and European descent falls in love with a married American correspondent in Hong Kong during China’s Communist revolution.",3.1,5.4K,4.2K,571,10 FANS,Henry King,love-is-a-many-splendored-thing-1955
"ALL THE UPROARIOUS FUN OF THE SMASH BROADWAY PLAY!
Mr. Roberts is a Navy officer who’s yearning for battle but is stuck in the backwaters of World War II on a non-commissioned ship run by the bullying Captain Morton.",3.6,9K,11K,2.4K,19 FANS,"John Ford, Mervyn LeRoy",mister-roberts-1955
"UNSURPASSED! UNFORGETTABLE!
Labor Day in a small Kansas farm town. Hal, a burly and resolute drifter, jumps off a dusty freight train car with the purpose of visiting Alan, a former college classmate and son of the richest man in town.",3.3,7.9K,8.3K,1.5K,10 FANS,Joshua Logan,picnic-1955
"THE BOLDEST STORY OF LOVE YOU HAVE EVER BEEN PERMITTED TO SEE! SEETHING WITH REALISM AND FRANKNESS!
A grieving widow embarks on a new romance when she discovers her late husband had been cheating on her.",3.3,6.9K,4.4K,685,6 FANS,Daniel Mann,the-rose-tattoo-1955
"IT’S A WONDERFUL WORLD, IF YOU’LL ONLY TAKE THE TIME TO GO AROUND IT!
Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",3.1,21K,34K,3.4K,19 FANS,Michael Anderson,around-the-world-in-80-days-1956
"HERE’S A SUPERB MOTION PICTURE FULL OF FUN… LAUGHTER AND HAPPINESS.
The story of a family of Quakers in Indiana in 1862. Their religious sect is strongly opposed to violence and war. It’s not easy for them to meet the rules of their religion in everyday life but when Southern troops pass the area they are in real trouble. Should they fight, despite their peaceful attitude?",3.4,8.5K,5.7K,926,7 FANS,William Wyler,friendly-persuasion-1956
"SOMETIMES ANY MAN CAN BE A GIANT . . .
Wealthy rancher Bick Benedict and dirt-poor cowboy Jett Rink both woo Leslie Lynnton, a beautiful young woman from Maryland who is new to Texas. She marries Benedict, but she is shocked by the racial bigotry of the White Texans against the local people of Mexican descent. Rink discovers oil on a small plot of land, and while he uses his vast, new wealth to buy all the land surrounding the Benedict ranch, the Benedict’s disagreement over prejudice …more",3.9,33K,57K,14K,404 FANS,George Stevens,giant-1956
"MORE THAN YOUR EYES HAVE EVER SEEN… MORE THAN YOUR HEART HAS EVER KNOWN!
Widowed Welsh mother Anna Loenowens becomes a governess and English tutor to the wives and many children of the stubborn King Mongkut of Siam. Anna and the King have a clash of personalities as she works to teach the royal family about the English language, customs and etiquette, and rushes to prepare a party for a group of European diplomats who must change their opinions about the King.",3.5,17K,41K,5.9K,112 FANS,Walter Lang,the-king-and-i-1956
"THE GREATEST EVENT IN MOTION PICTURE HISTORY!
Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",3.8,34K,89K,17K,416 FANS,Cecil B. DeMille,the-ten-commandments-1956
"IT SPANS A WHOLE NEW WORLD OF ENTERTAINMENT!
The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge’s construction, has acquired a sense of pride in his creation and tries to foil their plans.",4.2,85K,165K,43K,735 FANS,David Lean,the-bridge-on-the-river-kwai-1957
"IT EXPLODES LIKE 12 STICKS OF DYNAMITE!
The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors’ prejudices and preconceptions about the trial, the accused, and each other.",4.6,314K,1.6M,665K,70K FANS,Sidney Lumet,12-angry-men-1957
"SMALL TOWN AMERICA WILL NEVER BE THE SAME AGAIN.
In the outwardly respectable New England community of Peyton Place, shopkeeper Constance McKenzie tries to make up for a past indiscretion – which resulted in her illegitimate daughter Allison – by adopting a chaste, prudish attitude towards all things sexual. In spite of herself, Constance can’t help but be attracted to handsome new teacher Michael Rossi. Meanwhile, the restless Allison, who’d like to be as footloose and fancy-free as the town’s …more",3.5,6.5K,5.5K,1.1K,10 FANS,Mark Robson,peyton-place-1957
"“I AM NOT ALLOWED TO LOVE. BUT I WILL LOVE YOU IF THAT IS YOUR DESIRE…”
Air Force Major Lloyd Gruver is reassigned to a Japanese air base and is confronted with US racial prejudice against the Japanese people. The issue is compounded because a number of the soldiers become romantically involved with Japanese women, in defiance of US military policy. Ordinarily, a by-the-book officer, Gruver must take a position when a buddy of his, an enlisted man, Joe Kelly, falls in love with a Japanese woman, Katsumi, and marries her. …more",3.3,7.5K,7.2K,1.2K,14 FANS,Joshua Logan,sayonara-1957
"THE MOST ELECTRIFYING ENTERTAINMENT OF OUR TIME!
An ailing barrister agrees to defend a man in a sensational murder trial where the unconvincing testimony of the defendant’s wife becomes a subject of confusion.",4.4,57K,139K,49K,1.5K FANS,Billy Wilder,witness-for-the-prosecution-1957
"THANK HEAVEN FOR GIGI
A home, a motorcar, servants, the latest fashions: the most eligible and most finicky bachelor in Paris offers them all to Gigi. But she, who’s gone from girlish gawkishness to cultured glamour before our eyes, yearns for that wonderful something money can’t buy.",3.0,31K,36K,4.7K,107 FANS,Vincente Minnelli,gigi-1958
"TOPS THE BEST-SELLER! TOPS THE PLAY! THE ONE AND ONLY!
Mame Dennis, a progressive and independent woman of the 1920s, is left to care for her nephew Patrick after his wealthy father dies. Conflict ensues when the executor of the father’s estate objects to the aunt’s lifestyle and tries to force her to send Patrick to prep school.",3.9,9.7K,13K,4.4K,389 FANS,Morton DaCosta,auntie-mame-1958
"JUST ONE PILLOW ON HER BED… AND JUST ONE DESIRE IN HER HEART.
An alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. His wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. His reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son.",3.9,30K,81K,22K,538 FANS,Richard Brooks,cat-on-a-hot-tin-roof-1958
"ONE OF THE GREAT ONES!
Two convicts—one white, one black—escape while chained to each other.",3.8,18K,24K,5.9K,31 FANS,Stanley Kramer,the-defiant-ones-1958
"THE INTERNATIONAL STAGE SUCCESS SEEN BY MORE THAN 42 MILLION PEOPLE IN 145 CITIES ALL OVER THE WORLD!
The lives of a disparate group of unfulfilled people converge at a small, seaside English hotel in this adaptation of Terence Rattigan’s classic play.",3.5,7.8K,8.1K,1.4K,10 FANS,Delbert Mann,separate-tables-1958
"THE ENTERTAINMENT EXPERIENCE OF A LIFETIME!
In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire. Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",4.1,81K,198K,41K,1.6K FANS,William Wyler,ben-hur-1959
"NO SEARCH OF HUMAN EMOTIONS HAS EVER PROBED SO DEEPLY, SO TRUTHFULLY AS… ANATOMY OF A MURDER.
Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim’s mysterious business partner, who’s hiding a dark secret.",4.2,57K,115K,35K,380 FANS,Otto Preminger,anatomy-of-a-murder-1959
"HOLLYWOOD HAS NEVER MADE A GREATER SUSPENSE STORY… A MORE TENDER LOVE STORY… OR A FINER HUMAN DRAMA!
The true, harrowing story of a young Jewish girl who, with her family and their friends, is forced into hiding in an attic in Nazi-occupied Amsterdam.",3.7,9.3K,12K,2.1K,32 FANS,George Stevens,the-diary-of-anne-frank-1959
"FROM THE VERY BEGINNING, SHE WAS NOT LIKE THE OTHERS…
After leaving a wealthy Belgian family to become a nun, Sister Luke struggles with her devotion to her vows during crisis, disappointment, and World War II.",3.6,10K,15K,3.1K,48 FANS,Fred Zinnemann,the-nuns-story-1959
"A SAVAGE STORY OF LUST AND AMBITION
An ambitious young accountant schemes to wed a wealthy factory owner’s daughter, despite falling in love with a married older woman.",3.7,11K,8.9K,1.9K,10 FANS,Jack Clayton,room-at-the-top-1959
A building instructor cheats on his wife with a young fashion model.,,59,67,4,1 FAN,Giuseppe De Santis,the-apartment-1960
"THE MISSION THAT BECAME A FORTRESS! THE FORTRESS THAT BECAME A SHRINE!
The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",3.3,8K,13K,1.9K,22 FANS,John Wayne,the-alamo-1960
"IF THERE WAS A DOLLAR TO BE MADE—GANTRY WOULD MAKE IT … IF THERE WAS A SOUL TO BE SAVED—GANTRY WOULD SAVE IT …
A charismatic charlatan begins a business — and eventually romantic — relationship with a roadside evangelist to sell religion to 1920s America. Based on Sinclair Lewis’ novel of the same name.",3.8,11K,11K,2.6K,20 FANS,Richard Brooks,elmer-gantry-1960
"YOU’LL NEVER FORGET THE YOUNG LOVERS IN…
The son of a working-class British mining family has dreams of pursuing an art career, but when he strikes up an affair with an older, married woman from the town it enrages his kind but possessive mother.",3.5,5.2K,1.7K,228,1 FAN,Jack Cardiff,sons-and-lovers-1960
"ACROSS SIX THOUSAND MILES OF EXCITEMENT…ACROSS A WHOLE WORLD OF ADVENTURE COMES THE ROUSING, STORY OF REAL PEOPLE CALLED “THE SUNDOWNERS”!
In the Australian Outback, the Carmody family–Paddy, Ida, and their teenage son Sean–are sheep drovers, always on the move. Ida and Sean want to settle down and buy a farm. Paddy wants to keep moving. A sheep-shearing contest, the birth of a child, drinking, gambling, and a racehorse will all have a part in the final decision.",3.3,5.3K,3.3K,483,,Fred Zinnemann,the-sundowners-1960
"THE SCREEN ACHIEVES ONE OF THE GREAT ENTERTAINMENTS IN THE HISTORY OF MOTION PICTURES.
In the slums of the upper West Side of Manhattan, tensions are high as a gang of Polish-Americans compete against a gang of recently immigrated Puerto Ricans, but this doesn’t stop two romantics from each gang falling in love.",3.8,119K,454K,100K,4.3K FANS,"Jerome Robbins, Robert Wise",west-side-story-1961
"FANNY IS ALL THE LOVE STORIES OF THE WORLD ROLLED INTO ONE.
Almost 19-year-old Marius feels himself in a rut in Marseille, his life planned for him by his cafe’-owning father, and he longs for the sea. The night before he is to leave on a 5-year voyage, Fanny, a girl he grew up with, reveals that she is in love with him, and he discovers that he is in love with her. He must choose between an exciting life at sea, and a boring life with the woman he loves. And Fanny must choose between keeping the man she loves, …more",3.1,3.9K,2.1K,266,5 FANS,Joshua Logan,fanny-1961
"THE GREATEST HIGH ADVENTURE EVER FILMED!
A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",3.7,18K,37K,7.8K,81 FANS,J. Lee Thompson,the-guns-of-navarone-1961
"THEY CALLED HIM FAST EDDIE. HE WAS A WINNER. HE WAS A LOSER. HE WAS A HUSTLER.
Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.",4.1,40K,86K,24K,589 FANS,Robert Rossen,the-hustler-1961
"THE EVENT THE WORLD WILL NEVER FORGET.
In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",4.3,33K,56K,16K,422 FANS,Stanley Kramer,judgment-at-nuremberg-1961
"NOTHING IS WRITTEN.
The story of British officer T.E. Lawrence’s mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",4.4,173K,433K,140K,14K FANS,David Lean,lawrence-of-arabia-1962
